Year,Category,Nominee,Additional Info,Won?,,,,,,
2010 (83rd),Actor -- Leading Role,Javier Bardem,Biutiful {'Uxbal'},NO,,,,,,
2010 (83rd),Actor -- Leading Role,Jeff Bridges,True Grit {'Rooster Cogburn'},NO,,,,,,
2010 (83rd),Actor -- Leading Role,Jesse Eisenberg,The Social Network {'Mark Zuckerberg'},NO,,,,,,
2010 (83rd),Actor -- Leading Role,Colin Firth,The King's Speech {'King George VI'},YES,,,,,,
2010 (83rd),Actor -- Leading Role,James Franco,127 Hours {'Aron Ralston'},NO,,,,,,
2010 (83rd),Actor -- Supporting Role,Christian Bale,The Fighter {'Dicky Eklund'},YES,,,,,,
2010 (83rd),Actor -- Supporting Role,John Hawkes,Winter's Bone {'Teardrop'},NO,,,,,,
2010 (83rd),Actor -- Supporting Role,Jeremy Renner,The Town {'James Coughlin'},NO,,,,,,
2010 (83rd),Actor -- Supporting Role,Mark Ruffalo,The Kids Are All Right {'Paul'},NO,,,,,,
2010 (83rd),Actor -- Supporting Role,Geoffrey Rush,The King's Speech {'Lionel Logue'},NO,,,,,,
2010 (83rd),Actress -- Leading Role,Annette Bening,The Kids Are All Right {'Nic'},NO,,,,,,
2010 (83rd),Actress -- Leading Role,Nicole Kidman,Rabbit Hole {'Becca'},NO,,,,,,
2010 (83rd),Actress -- Leading Role,Jennifer Lawrence,Winter's Bone {'Ree'},NO,,,,,,
2010 (83rd),Actress -- Leading Role,Natalie Portman,Black Swan {'Nina Sayers/The Swan Queen'},YES,,,,,,
2010 (83rd),Actress -- Leading Role,Michelle Williams,Blue Valentine {'Cindy'},NO,,,,,,
2010 (83rd),Actress -- Supporting Role,Amy Adams,The Fighter {'Charlene Fleming'},NO,,,,,,
2010 (83rd),Actress -- Supporting Role,Helena Bonham Carter,The King's Speech {'Queen Elizabeth'},NO,,,,,,
2010 (83rd),Actress -- Supporting Role,Melissa Leo,The Fighter {'Alice Ward'},YES,,,,,,
2010 (83rd),Actress -- Supporting Role,Hailee Steinfeld,True Grit {'Mattie Ross'},NO,,,,,,
2010 (83rd),Actress -- Supporting Role,Jacki Weaver,Animal Kingdom {'Janine 'Smurf' Cody'},NO,,,,,,
2010 (83rd),Animated Feature Film,How to Train Your Dragon,Chris Sanders and Dean DeBlois,NO,,,,,,
2010 (83rd),Animated Feature Film,The Illusionist,Sylvain Chomet,NO,,,,,,
2010 (83rd),Animated Feature Film,Toy Story 3,Lee Unkrich,YES,,,,,,
2010 (83rd),Art Direction,Alice in Wonderland,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,YES,,,,,,
2010 (83rd),Art Direction,Harry Potter and the Deathly Hallows Part 1,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan,NO,,,,,,
2010 (83rd),Art Direction,Inception,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat,NO,,,,,,
2010 (83rd),Art Direction,The King's Speech,Production Design: Eve Stewart; Set Decoration: Judy Farr,NO,,,,,,
2010 (83rd),Art Direction,True Grit,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh,NO,,,,,,
2010 (83rd),Cinematography,Black Swan,Matthew Libatique,NO,,,,,,
2010 (83rd),Cinematography,Inception,Wally Pfister,YES,,,,,,
2010 (83rd),Cinematography,The King's Speech,Danny Cohen,NO,,,,,,
2010 (83rd),Cinematography,The Social Network,Jeff Cronenweth,NO,,,,,,
2010 (83rd),Cinematography,True Grit,Roger Deakins,NO,,,,,,
2010 (83rd),Costume Design,Alice in Wonderland,Colleen Atwood,YES,,,,,,
2010 (83rd),Costume Design,I Am Love,Antonella Cannarozzi,NO,,,,,,
2010 (83rd),Costume Design,The King's Speech,Jenny Beavan,NO,,,,,,
2010 (83rd),Costume Design,The Tempest,Sandy Powell,NO,,,,,,
2010 (83rd),Costume Design,True Grit,Mary Zophres,NO,,,,,,
2010 (83rd),Directing,Black Swan,Darren Aronofsky,NO,,,,,,
2010 (83rd),Directing,The Fighter,David O. Russell,NO,,,,,,
2010 (83rd),Directing,The King's Speech,Tom Hooper,YES,,,,,,
2010 (83rd),Directing,The Social Network,David Fincher,NO,,,,,,
2010 (83rd),Directing,True Grit,Joel Coen and Ethan Coen,NO,,,,,,
2010 (83rd),Documentary (Feature),Exit through the Gift Shop,Banksy and Jaimie D'Cruz,NO,,,,,,
2010 (83rd),Documentary (Feature),Gasland,Josh Fox and Trish Adlesic,NO,,,,,,
2010 (83rd),Documentary (Feature),Inside Job,Charles Ferguson and Audrey Marrs,YES,,,,,,
2010 (83rd),Documentary (Feature),Restrepo,Tim Hetherington and Sebastian Junger,NO,,,,,,
2010 (83rd),Documentary (Feature),Waste Land,Lucy Walker and Angus Aynsley,NO,,,,,,
2010 (83rd),Documentary (Short Subject),Killing in the Name,Jed Rothstein,NO,,,,,,
2010 (83rd),Documentary (Short Subject),Poster Girl,Sara Nesson and Mitchell W. Block,NO,,,,,,
2010 (83rd),Documentary (Short Subject),Strangers No More,Karen Goodman and Kirk Simon,YES,,,,,,
2010 (83rd),Documentary (Short Subject),Sun Come Up,Jennifer Redfearn and Tim Metzger,NO,,,,,,
2010 (83rd),Documentary (Short Subject),The Warriors of Qiugang,Ruby Yang and Thomas Lennon,NO,,,,,,
2010 (83rd),Film Editing,Black Swan,Andrew Weisblum,NO,,,,,,
2010 (83rd),Film Editing,The Fighter,Pamela Martin,NO,,,,,,
2010 (83rd),Film Editing,The King's Speech,Tariq Anwar,NO,,,,,,
2010 (83rd),Film Editing,127 Hours,Jon Harris,NO,,,,,,
2010 (83rd),Film Editing,The Social Network,Angus Wall and Kirk Baxter,YES,,,,,,
2010 (83rd),Foreign Language Film,Biutiful,Mexico,NO,,,,,,
2010 (83rd),Foreign Language Film,Dogtooth,Greece,NO,,,,,,
2010 (83rd),Foreign Language Film,In a Better World,Denmark,YES,,,,,,
2010 (83rd),Foreign Language Film,Incendies,Canada,NO,,,,,,
2010 (83rd),Foreign Language Film,Outside the Law (Hors-la-loi),Algeria,NO,,,,,,
2010 (83rd),Makeup,Barney's Version,Adrien Morot,NO,,,,,,
2010 (83rd),Makeup,The Way Back,"Edouard F. Henriques, Gregory Funk and Yolanda Toussieng",NO,,,,,,
2010 (83rd),Makeup,The Wolfman,Rick Baker and Dave Elsey,YES,,,,,,
2010 (83rd),Music (Scoring),How to Train Your Dragon,John Powell,NO,,,,,,
2010 (83rd),Music (Scoring),Inception,Hans Zimmer,NO,,,,,,
2010 (83rd),Music (Scoring),The King's Speech,Alexandre Desplat,NO,,,,,,
2010 (83rd),Music (Scoring),127 Hours,A.R. Rahman,NO,,,,,,
2010 (83rd),Music (Scoring),The Social Network,Trent Reznor and Atticus Ross,YES,,,,,,
2010 (83rd),Music (Song),Country Strong,"Music and Lyric by Tom Douglas, Troy Verges and Hillary Lindsey",NO,,,,,,
2010 (83rd),Music (Song),Tangled,Music by Alan Menken; Lyric by Glenn Slater,NO,,,,,,
2010 (83rd),Music (Song),127 Hours,Music by A.R. Rahman; Lyric by Dido and Rollo Armstrong,NO,,,,,,
2010 (83rd),Music (Song),Toy Story 3,Music and Lyric by Randy Newman,YES,,,,,,
2010 (83rd),Best Picture,Black Swan,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",NO,,,,,,
2010 (83rd),Best Picture,The Fighter,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",NO,,,,,,
2010 (83rd),Best Picture,Inception,"Emma Thomas and Christopher Nolan, Producers",NO,,,,,,
2010 (83rd),Best Picture,The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",NO,,,,,,
2010 (83rd),Best Picture,The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",YES,,,,,,
2010 (83rd),Best Picture,127 Hours,"Christian Colson, Danny Boyle and John Smithson, Producers",NO,,,,,,
2010 (83rd),Best Picture,The Social Network,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceï¿½n Chaffin, Producers",NO,,,,,,
2010 (83rd),Best Picture,Toy Story 3,"Darla K. Anderson, Producer",NO,,,,,,
2010 (83rd),Best Picture,True Grit,"Scott Rudin, Ethan Coen and Joel Coen, Producers",NO,,,,,,
2010 (83rd),Best Picture,Winter's Bone,"Anne Rosellini and Alix Madigan-Yorkin, Producers",NO,,,,,,
2010 (83rd),Short Film (Animated),Day & Night,Teddy Newton,NO,,,,,,
2010 (83rd),Short Film (Animated),The Gruffalo,Jakob Schuh and Max Lang,NO,,,,,,
2010 (83rd),Short Film (Animated),Let's Pollute,Geefwee Boedoe,NO,,,,,,
2010 (83rd),Short Film (Animated),The Lost Thing,Shaun Tan and Andrew Ruhemann,YES,,,,,,
2010 (83rd),Short Film (Animated),"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",Bastien Dubois,NO,,,,,,
2010 (83rd),Short Film (Live Action),The Confession,Tanel Toom,NO,,,,,,
2010 (83rd),Short Film (Live Action),The Crush,Michael Creagh,NO,,,,,,
2010 (83rd),Short Film (Live Action),God of Love,Luke Matheny,YES,,,,,,
2010 (83rd),Short Film (Live Action),Na Wewe,Ivan Goldschmidt,NO,,,,,,
2010 (83rd),Short Film (Live Action),Wish 143,Ian Barnes and Samantha Waite,NO,,,,,,
2010 (83rd),Sound,Inception,"Lora Hirschberg, Gary A. Rizzo and Ed Novick",YES,,,,,,
2010 (83rd),Sound,The King's Speech,"Paul Hamblin, Martin Jensen and John Midgley",NO,,,,,,
2010 (83rd),Sound,Salt,"Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin",NO,,,,,,
2010 (83rd),Sound,The Social Network,"Ren Klyce, David Parker, Michael Semanick and Mark Weingarten",NO,,,,,,
2010 (83rd),Sound,True Grit,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland",NO,,,,,,
2010 (83rd),Sound Editing,Inception,Richard King,YES,,,,,,
2010 (83rd),Sound Editing,Toy Story 3,Tom Myers and Michael Silvers,NO,,,,,,
2010 (83rd),Sound Editing,Tron: Legacy,Gwendolyn Yates Whittle and Addison Teague,NO,,,,,,
2010 (83rd),Sound Editing,True Grit,Skip Lievsay and Craig Berkey,NO,,,,,,
2010 (83rd),Sound Editing,Unstoppable,Mark P. Stoeckinger,NO,,,,,,
2010 (83rd),Visual Effects,Alice in Wonderland,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",NO,,,,,,
2010 (83rd),Visual Effects,Harry Potter and the Deathly Hallows Part 1,"Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi",NO,,,,,,
2010 (83rd),Visual Effects,Hereafter,"Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell",NO,,,,,,
2010 (83rd),Visual Effects,Inception,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb",YES,,,,,,
2010 (83rd),Visual Effects,Iron Man 2,"Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick",NO,,,,,,
2010 (83rd),Writing,127 Hours,Screenplay by Danny Boyle & Simon Beaufoy,NO,,,,,,
2010 (83rd),Writing,The Social Network,Screenplay by Aaron Sorkin,YES,,,,,,
2010 (83rd),Writing,Toy Story 3,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich",NO,,,,,,
2010 (83rd),Writing,True Grit,Written for the screen by Joel Coen & Ethan Coen,NO,,,,,,
2010 (83rd),Writing,Winter's Bone,Adapted for the screen by Debra Granik & Anne Rosellini,NO,,,,,,
2010 (83rd),Writing,Another Year,Written by Mike Leigh,NO,,,,,,
2010 (83rd),Writing,The Fighter,Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson,NO,,,,,,
2010 (83rd),Writing,Inception,Written by Christopher Nolan,NO,,,,,,
2010 (83rd),Writing,The Kids Are All Right,Written by Lisa Cholodenko & Stuart Blumberg,NO,,,,,,
2010 (83rd),Writing,The King's Speech,Screenplay by David Seidler,YES,,,,,,
2010 (83rd),Honorary Award,To Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.,,YES,,,,,,
2010 (83rd),Honorary Award,To Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.,,YES,,,,,,
2010 (83rd),Honorary Award,To Eli Wallach for a lifetime's worth of indelible screen characters.,,YES,,,,,,
2010 (83rd),Irving G. Thalberg Memorial Award,Francis Ford Coppola,,YES,,,,,,
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),"To DR. MARK SAGAR for his early and continuing development of influential facial motion retargeting solutions. Dr. Sagar's work led to a method for transforming facial motion capture data into an expression-based, editable character animation system that has been used in motion pictures with a high volume of digital characters. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),"To MARK NOEL for the design, engineering, and development, and to JOHN FRAZIER for his contributions to the design and safety features, of the NAC Servo Winch System. The NAC System allows full-size cars, aircraft and other heavy props to be flown on wires with unprecedented freedom of motion and a high degree of safety, on-set and in real time. The intuitive control system responds to the motion of the operator's hand, permitting the recording and playback of all axes of motion simultaneously, which may be edited and refined for playback in subsequent takes. [Stage Operations]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),"To JAMES RODNUNSKY, ALEX MacDONALD and MARK CHAPMAN for the development of the Cablecam 3-D volumetric suspended cable camera technologies. The evolution of the Cablecam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),"To TIM DRNEC, BEN BRITTEN SMITH and MATT DAVIS for the development of the Spydercam 3-D volumetric suspended cable camera technologies. The evolution of the Spydercam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To GREG ERCOLANO for the design and engineering of a series of software systems culminating in the Rush render queue management system. Mr. Ercolano's work has been influential across the industry, and has enabled scalable render farms at numerous studios. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To DAVID M. LAUR for the development of the Alfred render queue management system. This system was the first robust, scalable, widely adopted commercial solution for queue management in the motion picture industry. Its user interface and support for multi-machine assignment influenced the design of modern day queue management tools. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To CHRIS ALLEN, GAUTHAM KRISHNAMURTI, MARK A. BROWN and LANCE KIMES for the development of Queue, a robust, scalable approach to render queue management. Queue was one of the first systems that allowed for statistical analysis and process introspection, providing a framework for the efficient use of render farms. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To FLORIAN KAINZ for the design and development of the robust, highly scalable distributed architecture of the ObaQ render queue management system. ObaQ has scaled from managing a few hundred processors in 1997 to many thousands today, with minimal changes to the original design. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To ERIC TABELLION and ARNAULD LAMORLETTE for the creation of a computer graphics bounce lighting methodology that is practical at feature film scale. This important step in the evolution of global illumination techniques, first used on the motion picture Shrek 2"," was shared with the industry in their technical paper An Approximate Global Illumination System for Computer Generated Films."" [Digital Imaging Technology]""",NO,*,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To TONY CLARK, ALAN ROGERS, NEIL WILSON and RORY McGREGOR for the software design and continued development of cineSync, a tool for remote collaboration and review of visual effects. Easy to use, cineSync has become a widely accepted solution for remote production collaboration. [Systems]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Bonner Medal),To Denny Clairmont in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,